sample_pk,biosample_id,biosample_link,sample_id,sample_type,sra_sample,sample_link,sample_xml_link,current_land,current_vegetation,env_feature,env_feature_id,envo_term_iri_env_feature_link,envo_biome_term,envo_biome_id,envo_biome_link,elevation,elevation_unit,ph,ph_meth,tot_nitro,tot_n_meth,tot_org_c,tot_org_c_meth,sampl_collect_device,estimated_size,estimated_size_curated,estimated_size_unit,isol_growth_condt,collection_date,collection_year,propagation,sampl_size,env_material,num_replicons,depth_value,depth_unit,horizon,sample_location_original,sample_location_country,location_split2,location_split3,country_geonames_continent,country_parent,country_geoname_pref_en,country_geonamesname,country_geoname_abbrev,country_geoname_url,country_geoname_id,sample_coordinates_original,sample_lat_dec,sample_lon_dec,location_curation_term,margin_error_value_i,lat_corrected_label_i,lon_corrected_label_i,lat_corrected_value_i,lon_corrected_value_i
MDDBSRS000011,SAMN02864557,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864557,S089,soil,SRS651375,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651375,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651375&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.92,KCl extraction,3.16712086,isotope spectrometer for total N,70.51106937,isotope spectrometer for total C,5000,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 5000-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Huemules:Esquel,Argentina,Huemules,Esquel,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-114.253,-114.25300000,0E-8,Argentina Huemules Esquel,0.0010,Yes,Yes,-42.91072810,-71.30527160
MDDBSRS000012,SAMN02864544,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864544,S076,soil,SRS651361,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651361,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651361&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.01,KCl extraction,5.20956918,isotope spectrometer for total N,117.89767020,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Lag. Los Moscos,Argentina,Lag. Los Moscos,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-113.0425,-113.04250000,0E-8,Argentina,0.0010,Yes,Yes,-38.41609700,-63.61667200
MDDBSRS000013,SAMN02864545,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864545,S077,soil,SRS651362,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651362,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651362&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.11,KCl extraction,2.46283177,isotope spectrometer for total N,53.60883477,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Lag. Mascardi,Argentina,Lag. Mascardi,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-112.9294,-112.92940000,0E-8,Argentina Lag. Mascardi,0.0010,Yes,Yes,-41.34833300,-71.56361100
MDDBSRS000014,SAMN02864563,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864563,S095,soil,SRS651381,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651381,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651381&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.90,KCl extraction,8.63456988,isotope spectrometer for total N,166.49974130,isotope spectrometer for total C,5000,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 5000-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Lago La Plata:Rio Senguer,Argentina,Lago La Plata,Rio Senguer,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-116.56162,-116.56162000,0E-8,Argentina Lago La Plata Rio Senguer,0.0010,Yes,Yes,-44.86972220,-71.81055560
MDDBSRS000015,SAMN02864564,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864564,S096,soil,SRS651380,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651380,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651380&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.88,KCl extraction,9.56849064,isotope spectrometer for total N,182.72576790,isotope spectrometer for total C,5000,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 5000-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Lago La Plata:Rio Senguer,Argentina,Lago La Plata,Rio Senguer,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-116.55905,-116.55905000,0E-8,Argentina Lago La Plata Rio Senguer,0.0010,Yes,Yes,-44.86972220,-71.81055560
MDDBSRS000016,SAMN02864542,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864542,S074,soil,SRS651359,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651359,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651359&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.10,KCl extraction,1.29345913,isotope spectrometer for total N,28.99965774,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Mt. Otto,Argentina,Mt. Otto,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-112.5178,-112.51780000,0E-8,Argentina Mt. Otto,0.0010,Yes,Yes,-41.14446450,-71.37608610
MDDBSRS000017,SAMN02864558,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864558,S090,soil,SRS651376,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651376,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651376&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.07,KCl extraction,7.57682536,isotope spectrometer for total N,132.81500850,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Reserva Corazon de la Isla:Tolhuin,Argentina,Reserva Corazon de la Isla,Tolhuin,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-121.98467,-121.98467000,0E-8,Argentina Reserva Corazon de la Isla Tolhuin,0.0010,Yes,Yes,-54.51088930,-67.19298950
MDDBSRS000018,SAMN02864559,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864559,S091,soil,SRS651374,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651374,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651374&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.55,KCl extraction,7.11632071,isotope spectrometer for total N,133.68568670,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Reserva Corazon de la Isla:Tolhuin,Argentina,Reserva Corazon de la Isla,Tolhuin,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-121.98375,-121.98375000,0E-8,Argentina Reserva Corazon de la Isla Tolhuin,0.0010,Yes,Yes,-54.51088930,-67.19298950
MDDBSRS000019,SAMN02864550,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864550,S082,soil,SRS651368,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651368,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651368&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.33,KCl extraction,10.63509802,isotope spectrometer for total N,182.74183170,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Trompul,Argentina,Trompul,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-111.5901,-111.59010000,0E-8,Argentina Trompul,0.0010,Yes,Yes,-40.13551510,-71.40756650
MDDBSRS000020,SAMN02864551,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864551,S083,soil,SRS651367,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651367,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651367&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.12,KCl extraction,4.12705322,isotope spectrometer for total N,71.14921089,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Trompul,Argentina,Trompul,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-111.5615,-111.56150000,0E-8,Argentina Trompul,0.0010,Yes,Yes,-40.13551510,-71.40756650
MDDBSRS000021,SAMN02864553,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864553,S085,soil,SRS651370,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651370,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651370&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.16,KCl extraction,2.96025051,isotope spectrometer for total N,71.35920880,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Tronador,Argentina,Tronador,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-113.0204,-113.02040000,0E-8,Argentina Tronador,0.0010,Yes,Yes,-41.16083330,-71.88750000
MDDBSRS000022,SAMN02864554,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864554,S086,soil,SRS651371,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651371,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651371&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.32,KCl extraction,0.35012344,isotope spectrometer for total N,6.14131838,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Tronador,Argentina,Tronador,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-113.0122,-113.01220000,0E-8,Argentina Tronador,0.0010,Yes,Yes,-41.16083330,-71.88750000
MDDBSRS000023,SAMN02864552,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864552,S084,soil,SRS651369,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651369,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651369&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.53,KCl extraction,8.66253721,isotope spectrometer for total N,132.39466590,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Yuco,Argentina,Yuco,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-111.6103,-111.61030000,0E-8,Argentina Yuco,0.0010,Yes,Yes,-40.16460320,-71.52423320
MDDBSRS000024,SAMN02864423,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864423,G2751,soil,SRS651241,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651241,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651241&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,tropical dry broadleaf forest biome,ENVO:01000227,http://purl.obolibrary.org/obo/ENVO_01000227,99.99,meter,4.57,KCl extraction,0.86866624,isotope spectrometer for total N,14.64134098,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Australia:NT:Adelaide River,Australia,NT,Adelaide River,Oceania,Australia and New Zealand,Australia,Commonwealth of Australia,AU,http://www.geonames.org/2077456/commonwealth-of-australia.html,2077456,13.5321666666667 S 131.318083333333 E,-13.53216667,131.31808330,Australia Northern Territory Adelaide River,0.0010,Yes,Yes,-13.23805600,131.10611100
MDDBSRS000025,SAMN02864424,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864424,G2754,soil,SRS651240,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651240,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651240&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,tropical dry broadleaf forest biome,ENVO:01000227,http://purl.obolibrary.org/obo/ENVO_01000227,63.00,meter,4.18,KCl extraction,1.36372533,isotope spectrometer for total N,38.32511049,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Australia:NT:Berry Springs,Australia,NT,Berry Springs,Oceania,Australia and New Zealand,Australia,Commonwealth of Australia,AU,http://www.geonames.org/2077456/commonwealth-of-australia.html,2077456,12.6725 S 131.070833333333 E,-12.67250000,131.07083330,Australia Northern Territory Berry Springs,0.0010,No,No,-12.67250000,131.07083330
