article_pk,article_title,article_abstract,article_doi,article_doilink,article_pmid,article_pubmedlink,article_pmid_secondary_source,article_pubmed_published_converted,article_pubmed_completed_converted,article_pubmed_year,article_databankelement_name,article_databankelement_accession,article_pdf_study_type,article_pdf_study_accession
MDDBART000011,"Convergence and contrast in the community structure of Bacteria, Fungi and Archaea along a tropical elevation-climate gradient.","Changes in species richness along climatological gradients have been instrumental in developing theories about the general drivers of biodiversity. Previous studies on microbial communities along climate gradients on mountainsides have revealed positive, negative and neutral richness trends. We examined changes in richness and composition of Fungi, Bacteria and Archaea in soil along a 50-1000 m elevation, 280-3280 mm/yr precipitation gradient in Hawai'i. Soil properties and their drivers are exceptionally well understood along this gradient. All three microbial groups responded strongly to the gradient, with community ordinations being similar along axes of environmental conditions (pH, rainfall) and resource availability (nitrogen, phosphorus). However, the form of the richness-climate relationship varied between Fungi (positive linear), Bacteria (unimodal) and Archaea (negative linear). These differences were related to resource-ecology and limiting conditions for each group, with fungal richness increasing most strongly with soil carbon, ammonia-oxidizing Archaea increasing with nitrogen mineralization rate, and Bacteria increasing with both carbon and pH. Reponses to the gradient became increasingly variable at finer taxonomic scales and within any taxonomic group most individual OTUs occurred in narrow climate-elevation ranges. These results show that microbial responses to climate gradients are heterogeneous due to complexity of underlying environmental changes and the diverse ecologies of microbial taxa.",10.1093/femsec/fix045,http://dx.doi.org/10.1093/femsec/fix045,28402397,https://www.ncbi.nlm.nih.gov/pubmed/?term=28402397,NO,2017-05-01,2017-10-03,2017,,,BioProject,PRJNA379981
MDDBART000012,FUNGAL SYMBIONTS. Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism.,"The global biogeography of microorganisms remains largely unknown, in contrast to the well-studied diversity patterns of macroorganisms. We used arbuscular mycorrhizal (AM) fungus DNA from 1014 plant-root samples collected worldwide to determine the global distribution of these plant symbionts. We found that AM fungal communities reflected local environmental conditions and the spatial distance between sites. However, despite AM fungi apparently possessing limited dispersal ability, we found 93% of taxa on multiple continents and 34% on all six continents surveyed. This contrasts with the high spatial turnover of other fungal taxa and with the endemism displayed by plants at the global scale. We suggest that the biogeography of AM fungi is driven by unexpectedly efficient dispersal, probably via both abiotic and biotic vectors, including humans. ",10.1126/science.aab1161,http://dx.doi.org/10.1126/science.aab1161,26315436,https://www.ncbi.nlm.nih.gov/pubmed/?term=26315436,NO,2015-08-28,2016-02-19,2015,,,BioProject,PRJEB9764
MDDBART000013,Arbuscular mycorrhizal interactions of mycoheterotrophic Thismia are more specialized than in autotrophic plants.,"In general, plants and arbuscular mycorrhizal (AM) fungi exchange photosynthetically fixed carbon for soil nutrients, but occasionally nonphotosynthetic plants obtain carbon from AM fungi. The interactions of these mycoheterotrophic plants with AM fungi are suggested to be more specialized than those of green plants, although direct comparisons are lacking. We investigated the mycorrhizal interactions of both green and mycoheterotrophic plants. We used next-generation DNA sequencing to compare the AM communities from roots of five closely related mycoheterotrophic species of Thismia (Thismiaceae), roots of surrounding green plants, and soil, sampled over the entire temperate distribution of Thismia in Australia and New Zealand. We observed that the fungal communities of mycoheterotrophic and green plants are phylogenetically more similar within than between these groups of plants, suggesting a specific association pattern according to plant trophic mode. Moreover, mycoheterotrophic plants follow a more restricted association with their fungal partners in terms of phylogenetic diversity when compared with green plants, targeting more clustered lineages of fungi, independent of geographic origin. Our findings demonstrate that these mycoheterotrophic plants target more narrow lineages of fungi than green plants, despite the larger fungal pool available in the soil, and thus they are more specialized towards mycorrhizal fungi than autotrophic plants.",10.1111/nph.14249,http://dx.doi.org/10.1111/nph.14249,27739593,https://www.ncbi.nlm.nih.gov/pubmed/?term=27739593,NO,2017-02-01,2018-02-12,2017,,,SRA ,SRP083901
MDDBART000014,Fungal-host diversity among mycoheterotrophic plants increases proportionally to their fungal-host overlap.,"The vast majority of plants obtain an important proportion of vital resources from soil through mycorrhizal fungi. Generally, this happens in exchange of photosynthetically fixed carbon, but occasionally the interaction is mycoheterotrophic, and plants obtain carbon from mycorrhizal fungi. This process results in an antagonistic interaction between mycoheterotrophic plants and their fungal hosts. Importantly, the fungal-host diversity available for plants is restricted as mycoheterotrophic interactions often involve narrow lineages of fungal hosts. Unfortunately, little is known whether fungal-host diversity may be additionally modulated by plant-plant interactions through shared hosts. Yet, this may have important implications for plant competition and coexistence. Here, we use DNA sequencing data to investigate the interaction patterns between mycoheterotrophic plants and arbuscular mycorrhizal fungi. We find no phylogenetic signal on the number of fungal hosts nor on the fungal hosts shared among mycoheterotrophic plants. However, we observe a potential trend toward increased phylogenetic diversity of fungal hosts among mycoheterotrophic plants with increasing overlap in their fungal hosts. While these patterns remain for groups of plants regardless of location, we do find higher levels of overlap and diversity among plants from the same location. These findings suggest that species coexistence cannot be fully understood without attention to the two sides of ecological interactions.",10.1002/ece3.2974,http://dx.doi.org/10.1002/ece3.2974,28515898,https://www.ncbi.nlm.nih.gov/pubmed/?term=28515898,NO,2017-05-01,PubMed-not-MEDLINE,2017,,,BioProject,PRJNA339563
MDDBART000015,Consistent responses of soil microbial communities to elevated nutrient inputs in grasslands across the globe.,"Soil microorganisms are critical to ecosystem functioning and the maintenance of soil fertility. However, despite global increases in the inputs of nitrogen (N) and phosphorus (P) to ecosystems due to human activities, we lack a predictive understanding of how microbial communities respond to elevated nutrient inputs across environmental gradients. Here we used high-throughput sequencing of marker genes to elucidate the responses of soil fungal, archaeal, and bacterial communities using an N and P addition experiment replicated at 25 globally distributed grassland sites. We also sequenced metagenomes from a subset of the sites to determine how the functional attributes of bacterial communities change in response to elevated nutrients. Despite strong compositional differences across sites, microbial communities shifted in a consistent manner with N or P additions, and the magnitude of these shifts was related to the magnitude of plant community responses to nutrient inputs. Mycorrhizal fungi and methanogenic archaea decreased in relative abundance with nutrient additions, as did the relative abundances of oligotrophic bacterial taxa. The metagenomic data provided additional evidence for this shift in bacterial life history strategies because nutrient additions decreased the average genome sizes of the bacterial community members and elicited changes in the relative abundances of representative functional genes. Our results suggest that elevated N and P inputs lead to predictable shifts in the taxonomic and functional traits of soil microbial communities, including increases in the relative abundances of faster-growing, copiotrophic bacterial taxa, with these shifts likely to impact belowground ecosystems worldwide. ",10.1073/pnas.1508382112,http://dx.doi.org/10.1073/pnas.1508382112,26283343,https://www.ncbi.nlm.nih.gov/pubmed/?term=26283343,YES,2015-09-01,2015-12-30,2015,SRA,SRP052716,BioProject,PRJNA272747
MDDBART000016,Severe plant invasions can increase mycorrhizal fungal abundance and diversity.,"Invasions by non-native plants can alter ecosystem functions and reduce native plant diversity, but relatively little is known about their effect on belowground microbial communities. We show that invasions by knapweed (Centaurea stoebe) and leafy spurge (Euphorbia esula, hereafter spurge)--but not cheatgrass (Bromus tectorum)--support a higher abundance and diversity of symbiotic arbuscular mycorrhizal fungi (AMF) than multi-species native plant communities. The higher AMF richness associated with knapweed and spurge is unlikely due to a co-invasion by AMF, because a separate sampling showed that individual native forbs hosted a similar AMF abundance and richness as exotic forbs. Native grasses associated with fewer AMF taxa, which could explain the reduced AMF richness in native, grass-dominated communities. The three invasive plant species harbored distinct AMF communities, and analyses of co-occurring native and invasive plants indicate that differences were partly driven by the invasive plants and were not the result of pre-invasion conditions. Our results suggest that invasions by mycotrophic plants that replace poorer hosts can increase AMF abundance and richness. The high AMF richness in monodominant plant invasions also indicates that the proposed positive relationship between above and belowground diversity is not always strong. Finally, the disparate responses among exotic plants and consistent results between grasses and forbs suggest that AMF respond more to plant functional group than plant provenance.",10.1038/ismej.2013.41,http://dx.doi.org/10.1038/ismej.2013.41,23486251,https://www.ncbi.nlm.nih.gov/pubmed/?term=23486251,NO,2013-07-01,2014-01-30,2013,,,SRA ,SRA037764.2
MDDBART000017,Host identity is a dominant driver of mycorrhizal fungal community composition during ecosystem development.,"Little is known about the response of arbuscular mycorrhizal fungal communities to ecosystem development. We use a long-term soil chronosequence that includes ecosystem progression and retrogression to quantify the importance of host plant identity as a factor driving fungal community composition during ecosystem development. We identified arbuscular mycorrhizal fungi and plant species from 50 individual roots from each of 10 sites spanning 5-120 000 yr of ecosystem age using terminal restriction fragment length polymorphism (T-RFLP), Sanger sequencing and pyrosequencing. Arbuscular mycorrhizal fungal communities were highly structured by ecosystem age. There was strong niche differentiation, with different groups of operational taxonomic units (OTUs) being characteristic of early succession, ecosystem progression and ecosystem retrogression. Fungal alpha diversity decreased with ecosystem age, whereas beta diversity was high at early stages and lower in subsequent stages. A total of 39% of the variance in fungal communities was explained by host plant and site age, 29% of which was attributed to host and the interaction between host and site (24% and 5%, respectively). The strong response of arbuscular mycorrhizal fungi to ecosystem development appears to be largely driven by plant host identity, supporting the concept that plant and fungal communities are tightly coupled rather than independently responding to habitat. ",10.1111/nph.13226,http://dx.doi.org/10.1111/nph.13226,25640965,https://www.ncbi.nlm.nih.gov/pubmed/?term=25640965,YES,2015-03-01,2015-09-28,2015,GENBANK,,SRA ,SRP045608
MDDBART000018,Meta-analysis of deep-sequenced fungal communities indicates limited taxon sharing between studies and the presence of biogeographic patterns.,"High-throughput amplicon sequencing gives new insights into fungal community ecology. Massively generated molecular data lead to the discovery of vast fungal diversity. However, it is unclear to what extent operational taxonomic units (OTUs) overlap among independent studies, because no comparative studies exist. We compared fungal diversity based on the internal transcribed spacer (ITS1) region among 10 published studies. Starting from the raw 454 pyrosequencing data, we used a uniform pipeline to prune the reads. We investigated fungal richness and taxonomic composition among phyllosphere and soil fungal communities, as well as biogeographic signals in the data. We did not find globally distributed OTUs, even when comparing fungal communities from similar habitats (phyllosphere or soil). This suggests that high local fungal diversity scales up to high global diversity. The most OTU-rich classes in the phyllosphere were Dothideomycetes (21%) and Sordariomycetes (14%), and in the soil were Sordariomycetes (13%) and Agaricomycetes (12%). The richness estimates suggest the presence of undiscovered fungal diversity even in deeply sequenced study systems. The small number of OTUs shared among studies indicates that globally distributed taxa and habitat generalists may be rare. Latitudinal diversity decline and distance decay relationships suggest the presence of biogeographic patterns similar to those in plants and animals. ",10.1111/nph.12532,http://dx.doi.org/10.1111/nph.12532,24111803,https://www.ncbi.nlm.nih.gov/pubmed/?term=24111803,NO,2014-01-01,2015-12-15,2014,,,multi,multi
MDDBART000019,Fungal community analysis by large-scale sequencing of environmental samples.,"Fungi are an important and diverse component of soil communities, but these communities have proven difficult to study in conventional biotic surveys. We evaluated soil fungal diversity at two sites in a temperate forest using direct isolation of small-subunit and internal transcribed spacer (ITS) rRNA genes by PCR and high-throughput sequencing of cloned fragments. We identified 412 sequence types from 863 fungal ITS sequences, as well as 112 ITS sequences from other eukaryotic microorganisms. Equal proportions of Basidiomycota and Ascomycota sequences were present in both the ITS and small-subunit libraries, while members of other fungal phyla were recovered at much lower frequencies. Many sequences closely matched sequences from mycorrhizal, plant-pathogenic, and saprophytic fungi. Compositional differences were observed among samples from different soil depths, with mycorrhizal species predominating deeper in the soil profile and saprophytic species predominating in the litter layer. Richness was consistently lowest in the deepest soil horizon samples. Comparable levels of fungal richness have been observed following traditional specimen-based collecting and culturing surveys, but only after much more extensive sampling. The high rate at which new sequence types were recovered even after sampling 863 fungal ITS sequences and the dominance of fungi in our libraries relative to other eukaryotes suggest that the abundance and diversity of fungi in forest soils may be much higher than previously hypothesized. All sequences were deposited in GenBank, with accession numbers AY 969316 to AY 970290 for the ITS sequences and AY 969135 to AY 969315 for the SSU sequences.",10.1128/AEM.71.9.5544-5550.2005,http://doi.org/10.1128/AEM.71.9.5544-5550.2005,16151147,https://www.ncbi.nlm.nih.gov/pubmed/?term=16151147,YES,2005-09-01,2005-11-01,2005,GENBANK,,GENBANK,AY969316-AY970290
MDDBART000020,Comparison and Validation of Some ITS Primer Pairs Useful for Fungal Metabarcoding Studies,"Current metabarcoding studies aiming to characterize microbial communities generally rely on the amplification and sequencing of relatively short DNA regions. For fungi, the internal transcribed spacer (ITS) region in the ribosomal RNA (rRNA) operon has been accepted as the formal fungal barcode. Despite an increasing number of fungal metabarcoding studies, the amplification efficiency of primers is generally not tested prior to their application in metabarcoding studies. Some of the challenges that metabarcoding primers should overcome efficiently are the amplification of target DNA strands in samples rich in non-target DNA and environmental pollutants, such as humic acids, that may have been co-extracted with DNA. In the current study, three selected primer pairs were tested for their suitability as fungal metabarcoding primers. The selected primer pairs include two primer pairs that have been frequently used in fungal metabarcoding studies (ITS1F/ITS2 and ITS3/ITS4) and a primer pair (ITS86F/ITS4) that has been shown to efficiently amplify the ITS2 region of a broad range of fungal taxa in environmental soil samples. The selected primer pairs were evaluated in a 454 amplicon pyrosequencing experiment, real-time PCR (qPCR) experiments and in silico analyses. Results indicate that experimental evaluation of primers provides valuable information that could aid in the selection of suitable primers for fungal metabarcoding studies. Furthermore, we show that the ITS86F/ITS4 primer pair outperforms other primer pairs tested in terms of in silico primer efficiency, PCR efficiency, coverage, number of reads and number of species-level operational taxonomic units (OTUs) obtained. These traits push the ITS86F/ITS4 primer pair forward as highly suitable for studying fungal diversity and community structures using DNA metabarcoding. ",10.1371/journal.pone.0097629,http://dx.doi.org/10.1371/journal.pone.0097629,24933453,https://www.ncbi.nlm.nih.gov/pubmed/?term=24933453,NO,2014-01-01,2015-10-20,2014,,,SRA ,SRP026207
MDDBART000021,Lack of host specificity leads to independent assortment of dipterocarps and ectomycorrhizal fungi across a soil fertility gradient.,"Plants interact with a diversity of microorganisms, and there is often concordance in their community structures. Because most community-level studies are observational, it is unclear if such concordance arises because of host specificity, in which microorganisms or plants limit each other's occurrence. Using a reciprocal transplant experiment, we tested the hypothesis that host specificity between trees and ectomycorrhizal fungi determines patterns of tree and fungal soil specialisation. Seedlings of 13 dipterocarp species with contrasting soil specialisations were seeded into plots crossing soil type and canopy openness. Ectomycorrhizal colonists were identified by DNA sequencing. After 2.5 years, we found no evidence of host specificity. Rather, soil environment was the primary determinant of ectomycorrhizal diversity and composition on seedlings. Despite their close symbiosis, our results show that ectomycorrhizal fungi and tree communities in this Bornean rain forest assemble independently of host-specific interactions, raising questions about how mutualism shapes the realised niche. ",10.1111/ele.12459,http://dx.doi.org/10.1111/ele.12459,26032408,https://www.ncbi.nlm.nih.gov/pubmed/?term=26032408,NO,2015-08-01,2015-11-09,2015,,,SRA ,SRP057798
MDDBART000022,A phosphorus threshold for mycoheterotrophic plants in tropical forests.,"The majority of terrestrial plants associate with arbuscular mycorrhizal (AM) fungi, which typically facilitate the uptake of limiting mineral nutrients by plants in exchange for plant carbon. However, hundreds of non-photosynthetic plant species-mycoheterotrophs-depend entirely on AM fungi for carbon as well as mineral nutrition. Mycoheterotrophs can provide insight into the operation and regulation of AM fungal relationships, but little is known about the factors, fungal or otherwise, that affect mycoheterotroph abundance and distribution. In a lowland tropical forest in Panama, we conducted the first systematic investigation into the influence of abiotic factors on the abundance and distribution of mycoheterotrophs, to ask whether the availability of nitrogen and phosphorus altered the occurrence of mycoheterotrophs and their AM fungal partners. Across a natural fertility gradient spanning the isthmus of Panama, and also in a long-term nutrient-addition experiment, mycoheterotrophs were entirely absent when soil exchangeable phosphate concentrations exceeded 2 mg P kg-1 Experimental phosphorus addition reduced the abundance of AM fungi, and also reduced the abundance of the specific AM fungal taxa required by the mycoheterotrophs, suggesting that the phosphorus sensitivity of mycoheterotrophs is underpinned by the phosphorus sensitivity of their AM fungal hosts. The soil phosphorus concentration of 2 mg P kg-1 also corresponds to a marked shift in tree community composition and soil phosphatase activity across the fertility gradient, suggesting that our findings have broad ecological significance.",10.1098/rspb.2016.2093,http://doi.org/10.1098/rspb.2016.2093,28148744,https://www.ncbi.nlm.nih.gov/pubmed/?term=28148744,YES,2017-02-08,2018-01-30,2017,figshare,10.6084/m9.figshare.c.3666652,SRA ,SRP076949
